sequence_id,architecture_id,metric,old,corrected,delta,unit
heldout_h02_crossing,deepsort_raw,iou_duration_weighted_mean,0.7806191885491699,0.821758516065108,0.04113932751593807,fraction
heldout_h02_crossing,deepsort_raw,iou_median,0.7879573739764246,0.8310197485284784,0.04306237455205375,fraction
heldout_h02_crossing,deepsort_raw,centre_error_px_duration_weighted_mean,4.742906391201163,3.335481224081223,-1.4074251671199396,px
heldout_h02_crossing,deepsort_raw,scored_duration_s,13.666611696,13.600045426000001,-0.06656626999999915,s
heldout_h02_crossing,deepsort_raw,n_samples,673,671,-2,count
heldout_h03_occlusion_distractor,bytetrack_raw,correct_target_output_duration_s,27.232552229999836,27.182607491999796,-0.049944738000039735,s
heldout_h03_occlusion_distractor,bytetrack_raw,wrong_person_output_duration_s,16.867387124999894,16.783789008000195,-0.0835981169996991,s
heldout_h03_occlusion_distractor,bytetrack_raw,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_raw,lost_or_suppressed_duration_s,1.999696322000272,2.1332391770000108,0.13354285499973884,s
heldout_h03_occlusion_distractor,bytetrack_raw,target_absent_duration_s,3.3000942820000034,3.3000942820000034,0.0,s
heldout_h03_occlusion_distractor,bytetrack_raw,target_absent_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_raw,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_raw,reference_gap_duration_s,0.0333238209999962,0.0333238209999962,0.0,s
heldout_h03_occlusion_distractor,bytetrack_raw,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_raw,iou_duration_weighted_mean,0.796029242322614,0.8224842880576712,0.026455045735057192,fraction
heldout_h03_occlusion_distractor,bytetrack_raw,iou_median,0.8132350575924009,0.8375724317435752,0.024337374151174318,fraction
heldout_h03_occlusion_distractor,bytetrack_raw,centre_error_px_duration_weighted_mean,3.427353330527051,2.6967790103783535,-0.7305743201486976,px
heldout_h03_occlusion_distractor,bytetrack_raw,scored_duration_s,27.232552229999836,27.182607491999796,-0.049944738000039735,s
heldout_h03_occlusion_distractor,bytetrack_raw,n_samples,1338,1336,-2,count
