status,source_kind,category,sequence,old_path,new_path,exists
useful,mavros_aux,official_field_2026-06-19,seq02,artifacts/bags/mavros/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/official_field_2026-06-19/seq02_target_reentry/mavros/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq03,artifacts/bags/mavros/2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__mavros,artifacts/bags/originals/official_field_2026-06-19/seq03_crossing_ambiguity/mavros/2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq03,artifacts/bags/mavros/2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/official_field_2026-06-19/seq03_crossing_ambiguity/mavros/2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq04,artifacts/bags/mavros/2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__mavros,artifacts/bags/originals/official_field_2026-06-19/seq04_occlusion_no_exit/mavros/2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq04,artifacts/bags/mavros/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/official_field_2026-06-19/seq04_occlusion_no_exit/mavros/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__mavros,True
useful,replay,memory_only_replay,seq02,artifacts/bags/memory_only_replay/2026-06-19__seq02_long_memory_only_no_switch,artifacts/bags/derived/memory_only_replay/2026-06-19__seq02_long_memory_only_no_switch,True
useful,replay,memory_only_replay,seq02,artifacts/bags/memory_only_replay/2026-06-19__seq02_target_reentry__memory_only_spatial_gate,artifacts/bags/derived/memory_only_replay/2026-06-19__seq02_target_reentry__memory_only_spatial_gate,True
useful,replay,memory_only_replay,seq03,artifacts/bags/memory_only_replay/2026-06-19__seq03_crossing_ambiguity__memory_only_spatial_gate,artifacts/bags/derived/memory_only_replay/2026-06-19__seq03_crossing_ambiguity__memory_only_spatial_gate,True
useful,replay,memory_only_replay,seq03,artifacts/bags/memory_only_replay/2026-06-19__seq03_memory_only_hold_last15_no_switch,artifacts/bags/derived/memory_only_replay/2026-06-19__seq03_memory_only_hold_last15_no_switch,True
useful,replay,memory_only_replay,seq03,artifacts/bags/memory_only_replay/2026-06-19__seq03_memory_only_no_switch,artifacts/bags/derived/memory_only_replay/2026-06-19__seq03_memory_only_no_switch,True
useful,replay,memory_only_replay,seq04,artifacts/bags/memory_only_replay/2026-06-19__seq04_memory_only_hold_last15_no_switch,artifacts/bags/derived/memory_only_replay/2026-06-19__seq04_memory_only_hold_last15_no_switch,True
useful,replay,memory_only_replay,seq04,artifacts/bags/memory_only_replay/2026-06-19__seq04_memory_only_no_switch,artifacts/bags/derived/memory_only_replay/2026-06-19__seq04_memory_only_no_switch,True
useful,replay,memory_only_replay,seq04,artifacts/bags/memory_only_replay/2026-06-19__seq04_occlusion_no_exit__memory_only_spatial_gate,artifacts/bags/derived/memory_only_replay/2026-06-19__seq04_occlusion_no_exit__memory_only_spatial_gate,True
review,raw_image_source,lab_and_old_image_raw,seq01,artifacts/bags/source_video/2026-06-19__11-56-07__source__2026-06-19__seq01__clean_four_person__image_raw,artifacts/bags/originals/lab_old/image_raw/2026-06-19__11-56-07__source__2026-06-19__seq01__clean_four_person__image_raw,True
canonical,raw_image_source,official_field_2026-06-19,seq01,artifacts/bags/source_video/2026-06-19__12-38-13__source__2026-06-19__official__seq01__clean_four_person__image_raw,artifacts/bags/originals/official_field_2026-06-19/seq01_clean_four_person/image_raw/2026-06-19__12-38-13__source__2026-06-19__official__seq01__clean_four_person__image_raw,True
canonical,raw_image_source,official_field_2026-06-19,seq01,artifacts/bags/source_video/2026-06-19__12-48-17__source__2026-06-19__official__seq01__clean_four_person__image_raw,artifacts/bags/originals/official_field_2026-06-19/seq01_clean_four_person/image_raw/2026-06-19__12-48-17__source__2026-06-19__official__seq01__clean_four_person__image_raw,True
canonical,raw_image_source,official_field_2026-06-19,seq03,artifacts/bags/source_video/2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw,artifacts/bags/originals/official_field_2026-06-19/seq03_crossing_ambiguity/image_raw/2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw,True
canonical,raw_image_source,official_field_2026-06-19,seq04,artifacts/bags/source_video/2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw,artifacts/bags/originals/official_field_2026-06-19/seq04_occlusion_no_exit/image_raw/2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw,True
useful,replay,strict_tim_replay,seq02,artifacts/bags/strict_tim_replay/2026-06-19__seq02_long__strict_tim_mars,artifacts/bags/derived/strict_tim_replay/2026-06-19__seq02_long__strict_tim_mars,True
useful,replay,strict_tim_replay,seq02,artifacts/bags/strict_tim_replay/2026-06-19__seq02_long_medium__tim_mars_medium,artifacts/bags/derived/strict_tim_replay/2026-06-19__seq02_long_medium__tim_mars_medium,True
useful,replay,strict_tim_replay,seq02,artifacts/bags/strict_tim_replay/2026-06-19__seq02_long_strict_aligned__tim_mars,artifacts/bags/derived/strict_tim_replay/2026-06-19__seq02_long_strict_aligned__tim_mars,True
