max_age_frames	sequence	metric_type	stream	field	baseline_age0	candidate	delta	safety_tolerance_s	gate
93	seq03_crossing	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
93	seq03_crossing	spatial	tim_target_memory	lost_target_ratio	0.103	0.103	0.0		N/A
93	seq04_occlusion	annotated_id	raw_target	correct_target_duration_s	36.689	36.689	0.0		N/A
93	seq04_occlusion	annotated_id	raw_target	wrong_target_duration_s	0.45	0.45	0.0		N/A
93	seq04_occlusion	annotated_id	raw_target	lost_target_duration_s	19.683	19.683	0.0		N/A
93	seq04_occlusion	annotated_id	raw_target	correct_target_ratio	0.646	0.646	0.0		N/A
93	seq04_occlusion	annotated_id	raw_target	wrong_target_ratio	0.008	0.008	0.0		N/A
93	seq04_occlusion	annotated_id	raw_target	lost_target_ratio	0.346	0.346	0.0		N/A
93	seq04_occlusion	annotated_id	tim_target_memory	correct_target_duration_s	39.093	39.093	0.0		N/A
93	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_duration_s	0.25	0.25	0.0	0.05	PASS
93	seq04_occlusion	annotated_id	tim_target_memory	lost_target_duration_s	17.479	17.479	0.0		N/A
93	seq04_occlusion	annotated_id	tim_target_memory	correct_target_ratio	0.688	0.688	0.0		N/A
93	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_ratio	0.004	0.004	0.0		N/A
93	seq04_occlusion	annotated_id	tim_target_memory	lost_target_ratio	0.308	0.308	0.0		N/A
93	seq04_occlusion	spatial	raw_target	correct_target_duration_s	36.749	36.749	0.0		N/A
93	seq04_occlusion	spatial	raw_target	wrong_target_duration_s	0.31	0.31	0.0		N/A
93	seq04_occlusion	spatial	raw_target	lost_target_duration_s	15.38	15.38	0.0		N/A
93	seq04_occlusion	spatial	raw_target	correct_target_ratio	0.647	0.647	0.0		N/A
93	seq04_occlusion	spatial	raw_target	wrong_target_ratio	0.005	0.005	0.0		N/A
93	seq04_occlusion	spatial	raw_target	lost_target_ratio	0.271	0.271	0.0		N/A
93	seq04_occlusion	spatial	tim_target_memory	correct_target_duration_s	39.183	39.183	0.0		N/A
93	seq04_occlusion	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
93	seq04_occlusion	spatial	tim_target_memory	lost_target_duration_s	13.256	13.256	0.0		N/A
93	seq04_occlusion	spatial	tim_target_memory	correct_target_ratio	0.689	0.689	0.0		N/A
93	seq04_occlusion	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
