model,tracker,status,json_path,health_score,detections_hz,timing_hz,tracker_hz,target_hz,e2e_det_p50_ms,e2e_det_p95_ms,e2e_det_p99_ms,infer_p50_ms,infer_p95_ms,infer_p99_ms,pre_p95_ms,container_queue_p95_ms,pub_dt_p95_ms,track_p50_ms,track_p95_ms,track_p99_ms,e2e_target_p95_ms,target_p95_ms,det_per_msg_mean,det_zero_ratio,notes
yolov8l,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8l__sort.json,72.47048522949217,11.120893687743868,11.154189776629329,11.853407643224003,11.853407643224003,66.0218734741211,120.19056091308595,134.97499847412112,59.51444625854492,66.75950241088867,71.31032684326176,6.35220160484314,3.6088015317916873,167.30642547607422,5.073777437210083,9.107734441757202,11.084067821502686,0.0,,1.0,0.0,
yolov8l,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8l__ocsort.json,84.55216020856587,11.928372146817537,11.961691622087976,11.961691622087976,11.961691622087976,65.73240661621094,79.27238464355466,131.08817596435546,59.12508773803711,67.00324249267578,71.04567031860354,6.157285165786739,2.5902250051498408,168.66287078857414,5.357862949371338,10.343891048431388,14.082003116607687,0.0,,1.0,0.0,
yolov8l,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8l__bytetrack.json,85.482047189985,12.165641300999413,12.198971825111741,12.165641300999413,12.165641300999413,65.60723114013672,78.13512992858887,132.42088470458998,59.45970344543457,66.40558624267578,70.1753028869629,5.57045841217041,2.201270192861557,164.54189682006836,5.383918762207031,9.367847633361817,12.180107460021976,0.0,,1.0,0.0,
yolov8l,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8l__deepsort.json,67.31962597983225,10.999294632834108,11.065957024548254,10.79930745769167,10.999294632834108,68.27250289916992,126.15316658020018,135.16464645385742,61.336740493774414,71.3710723876953,73.9404515838623,6.987961554527283,2.2858867287635762,190.8409683227539,60.58576965332031,82.51438369750976,88.79229301452632,174.2606109619141,,1.0,0.0,
yolov8x,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8x__sort.json,55.878207441057484,9.188824020805772,9.222116861460865,9.754802311942358,9.654923789977078,88.0078353881836,168.0045440673828,176.1619000244141,81.24179077148438,86.90266571044921,88.84204010009765,6.409672451019286,2.4180030345916728,183.04300537109373,4.825507164001465,8.649500656127927,11.476326484680175,0.0,,1.0,0.0,
yolov8x,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8x__ocsort.json,59.00538194928853,10.445655049432377,10.412388632077496,10.412388632077496,10.412388632077496,87.68965148925781,162.27365417480468,174.29547973632813,81.42930603027344,87.7651138305664,90.79188842773436,6.100807094573967,2.3244555950164782,173.1876525878905,5.226353168487549,8.872007369995117,11.433969039916992,0.0,,1.0,0.0,
yolov8x,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8x__bytetrack.json,56.395555278233125,9.866170274645459,9.866170274645459,10.09949186897829,10.09949186897829,87.6550407409668,166.96216201782227,174.60430068969734,81.33996200561523,87.74371337890625,90.61242752075195,5.421122312545776,2.0448989868164062,181.6105728149414,4.870087146759033,9.331843757629395,10.663772354125978,0.0,,1.0,0.0,
yolov8x,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8x__deepsort.json,74.89974952697754,9.395776471946428,9.429094828229927,9.462413184513425,9.462413184513425,88.67262268066406,98.78294448852537,174.17414123535156,82.43260955810547,89.25509719848633,92.97296524047852,7.0007428646087515,1.5230268359184262,195.25756988525387,50.0803165435791,71.75346870422361,76.64015571594241,0.0,,1.0,0.0,
yolov10n,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10n__sort.json,93.26336577279227,15.672952829525588,15.70622873786853,16.737781896499726,16.538126446442075,19.741040229797363,26.977560329437253,30.466094913482667,14.740334033966064,20.153271770477296,23.966754035949712,4.076683855056762,1.073027789592743,127.1564395904541,4.0257391929626465,8.564703750610352,11.147070999145518,0.0,,0.9915074309978769,0.008492569002123142,
yolov10n,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10n__ocsort.json,92.51620112827847,15.199454668392306,15.166122530961621,15.999425966728742,15.732768867283264,19.3420467376709,27.872430610656732,31.496757812499997,14.552449226379395,20.43321094512939,22.482949066162107,4.336302280426022,1.0867270946502683,132.38659210205077,4.850970029830933,8.626495456695555,11.682363405227658,0.0,,0.9912280701754386,0.008771929824561403,
yolov10n,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10n__bytetrack.json,93.01707022530692,15.419360236615853,15.452663390474633,14.753297159440221,16.485061160096862,19.459274291992188,27.20390691757202,33.649966697692875,14.7923264503479,20.059468555450437,23.57110383987427,3.7641631960868827,1.091838067770004,128.88050842285156,4.501798152923584,9.087145233154295,10.686350612640378,0.0,,0.9978401727861771,0.0021598272138228943,
yolov10n,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10n__deepsort.json,87.50223083496094,13.415852156886487,13.415852156886487,11.351874901980874,11.085555256186602,21.445432662963867,31.098926544189453,37.05922019958497,16.120180130004883,24.448157882690428,28.243454551696782,4.581556701660155,1.388008153438568,167.48438415527343,56.95081329345703,82.91069793701172,92.23670501708986,128.9874298095703,,0.9950372208436724,0.004962779156327543,
yolov10s,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10s__sort.json,93.16901114327567,16.531500868260828,16.564830507108127,16.164874840940527,15.831578452467527,27.75811767578125,35.38716125488281,37.944788513183596,22.884370803833008,28.436133193969724,31.495006408691417,4.431902599334714,1.0332527875900268,127.8169219970703,4.562665939331055,8.66088714599609,11.867711601257316,0.0,,0.9979838709677419,0.0020161290322580645,
yolov10s,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10s__ocsort.json,92.75291530064175,14.064334207008526,14.064334207008526,14.764218136741178,14.664234718207942,28.37349796295166,36.31568565368652,44.18660243988039,22.999906539916992,29.606056118011473,32.31635276794434,4.494835901260376,1.0922774195671079,130.7295928955078,4.412089824676514,8.657696628570557,10.781013851165763,0.0,,1.0,0.0,
yolov10s,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10s__bytetrack.json,92.05719081333706,14.396335512632268,14.396335512632268,15.194284825110731,15.52676370531009,27.497156143188477,35.46301803588867,37.107957153320314,22.54930305480957,28.265000152587888,31.09375793457032,4.828560256958008,0.9784997940063476,135.59966430664062,4.713720798492432,10.078174781799314,14.533499908447265,0.0,,1.0,0.0,
yolov10s,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10s__deepsort.json,87.47534430367607,12.938554218129385,12.97181528295748,11.009412458099812,11.77441694914602,29.823909759521484,39.95707988739012,45.26978759765626,24.110918045043945,32.087298965454096,36.64872661590577,5.384235620498656,1.6145614087581617,167.67258987426757,61.0265007019043,81.60094451904297,89.94070205688473,150.9510757446288,,1.0,0.0,
yolov10b,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10b__sort.json,90.39698355538505,14.154250291739306,14.18755441007281,14.18755441007281,14.18755441007281,50.222251892089844,59.86087608337402,69.06100463867188,44.85688400268555,51.95291042327881,55.56312084197998,5.103545069694519,1.548425555229187,147.2211151123047,4.699248552322388,8.94724178314209,10.997931718826294,0.0,,1.0,0.0,
yolov10b,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10b__ocsort.json,89.0634741646903,13.879726003592522,13.979580147503258,13.979580147503258,13.713302430407959,49.58332824707031,59.241850090026844,97.1650505065918,44.64860534667969,51.09390258789062,54.29908794403076,4.412414550781249,1.0694175958633418,156.5556808471679,4.719590663909912,8.884704494476315,11.280922975540161,0.0,,1.0,0.0,
yolov10b,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10b__bytetrack.json,92.63035038539341,13.857789631773809,13.82447763746666,13.424733705780877,13.15823775132369,50.063926696777344,60.06198883056638,101.27214065551763,44.65944290161133,52.23914070129395,55.56197410583496,4.598118257522582,1.2131544113159163,131.5875473022461,4.906202793121338,9.122070598602294,11.491998023986818,0.0,,1.0,0.0,
yolov10b,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10b__deepsort.json,82.39412493024554,11.466389793867753,11.433057265397208,10.766406695986293,10.666409110574655,51.40799331665039,62.881344604492185,66.3221336364746,45.74946975708008,54.6608943939209,58.498596496582024,4.993466377258301,1.870705783367157,203.24112548828126,59.009761810302734,81.18018722534178,90.2425975036621,158.78592071533205,,1.0,0.0,
yolov10x,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10x__sort.json,80.59409645080565,10.462599465046052,10.495919845507983,10.729162508741494,10.729162508741494,84.1026611328125,94.32891311645508,165.15876708984376,77.94898223876953,84.20804443359376,86.54461334228515,5.853073167800905,1.7343857526779187,164.75060729980476,5.069194316864014,8.790377950668333,10.422341995239265,0.0,,1.0,0.0,
yolov10x,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov10x__ocsort.json,62.33175837925503,10.788387568418313,10.888280045903668,10.854982553408549,10.655197598437839,84.939697265625,157.48162536621092,170.30256561279296,77.61998748779297,84.79142761230469,88.4218960571289,6.547431945800778,2.5078455686569203,159.96627807617185,5.169018983840942,9.440213441848755,10.95833134651184,0.0,,1.0,0.0,
