run_id	condition	frame_id	gallery	gallery_size	state	control_mode	candidate_track_ids	target_track_id	best_track_id	all_scores_exact	best_present	strict_full	mars_top1	repvgg_top1	mars_margin	repvgg_margin	pairwise_agreement	pairwise_disagreement	pairwise_ties
r2_all_candidates_hailo	all_candidates_hailo	926	all_target_history	88	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.13662316520398576	0.22701887764716833	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	926	updated_target_gallery	74	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.1539156260643506	0.2486922710091123	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	934	all_target_history	90	LOCKED	NORMAL	[41,60]	41	41	True	True	True	41	41	0.3686767637526357	0.19498673533778677	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	934	updated_target_gallery	75	LOCKED	NORMAL	[41,60]	41	41	True	True	True	41	41	0.3900437463486106	0.21277537705961547	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	937	all_target_history	91	LOCKED	NORMAL	[41,60]	41	41	True	True	True	41	41	0.28104684053685725	0.26990673753435845	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	937	updated_target_gallery	75	LOCKED	NORMAL	[41,60]	41	41	True	True	True	41	41	0.29327426250294475	0.2878460749005012	1	0	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	508	all_target_history	77	UNCERTAIN	YAW_ONLY	[1,2]	1	1	False	True	False	1	2	0.028794806628321457	0.08296395439244275	0	1	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	508	updated_target_gallery	73	UNCERTAIN	YAW_ONLY	[1,2]	1	1	False	True	False	1	2	0.024755831917184667	0.08800048065206278	0	1	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	834	all_target_history	129	LOST	HOVER	[1,41]	1	41	False	True	False	41	1	0.05556000281077367	0.05923590652840305	0	1	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	834	updated_target_gallery	118	LOST	HOVER	[1,41]	1	41	False	True	False	41	1	0.05751058198049441	0.05766332470393776	0	1	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	898	all_target_history	144	UNCERTAIN	YAW_ONLY	[1,41]	41	41	False	True	False	41	41	0.20820504438829435	0.14601158361278233	1	0	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	898	updated_target_gallery	128	UNCERTAIN	YAW_ONLY	[1,41]	41	41	False	True	False	41	41	0.2176340542210089	0.15358095517929693	1	0	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	902	all_target_history	145	UNCERTAIN	YAW_ONLY	[1,41]	41	41	True	True	True	41	41	0.22967159295866657	0.28624736383666693	1	0	0
r2_ambiguity_guarded_hailo	ambiguity_guarded_hailo	902	updated_target_gallery	128	UNCERTAIN	YAW_ONLY	[1,41]	41	41	True	True	True	41	41	0.23733819039193327	0.30069435345534434	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	205	all_target_history	3	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.44719390491155786	0.46088787915775165	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	205	updated_target_gallery	3	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.44719390491155786	0.46088787915775165	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	235	all_target_history	5	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.5194511893101827	0.36403757904787504	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	235	updated_target_gallery	5	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.5194511893101827	0.36403757904787504	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	250	all_target_history	6	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3437715460917301	0.4175176343136281	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	250	updated_target_gallery	6	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3437715460917301	0.4175176343136281	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	251	all_target_history	7	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3744871084461364	0.4051327014291236	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	251	updated_target_gallery	7	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3744871084461364	0.4051327014291236	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	256	all_target_history	8	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.442836272100668	0.4262224667165836	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	256	updated_target_gallery	8	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.442836272100668	0.4262224667165836	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	354	all_target_history	14	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.34565188335544694	0.339256152065217	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	354	updated_target_gallery	14	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.34565188335544694	0.339256152065217	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	534	all_target_history	27	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.45960466163700475	0.2625994895089966	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	534	updated_target_gallery	25	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.4639562125937496	0.2688663644496083	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	638	all_target_history	36	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.19251984493376006	0.3373578623037854	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	638	updated_target_gallery	33	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.19318516676211772	0.3370712702571975	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	672	all_target_history	37	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.22355526069607756	0.4017089752920533	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	672	updated_target_gallery	34	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.22276451860680058	0.4021690580327588	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	734	all_target_history	43	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.22871579959608512	0.33799983635423825	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	734	updated_target_gallery	38	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.22755881539524014	0.3331326206794921	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	842	all_target_history	64	REACQUIRED	CONFIRM	[1,41]	1	41	True	True	True	41	41	0.3115282207118645	0.3669440221388085	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	842	updated_target_gallery	55	REACQUIRED	CONFIRM	[1,41]	1	41	True	True	True	41	41	0.3279844743677991	0.38119291091393637	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	859	all_target_history	65	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.24937963200348245	0.34329058411739743	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	859	updated_target_gallery	55	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.271226948208259	0.3705288106079263	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	865	all_target_history	66	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.18309845252283674	0.26736769368340463	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	865	updated_target_gallery	56	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.20375595221569753	0.2890697296243263	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	889	all_target_history	67	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.2291341930021108	0.2830076752044326	1	0	0
r3_all_candidates_hailo	all_candidates_hailo	889	updated_target_gallery	57	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.25457729384824024	0.30396380654316424	1	0	0
